id,name,description,start_date,end_time,venue_name,venue_address,location,source,source_id,url,image_url,category,price_min,price_max,created_at,updated_at
0007041b-3cf9-4418-a0f5-de572fce9401,Cass Art Creative Workshop at LAF: Drawing - materials and advice,"Sourced from predicthq.com - Join Cass Art Liverpool staff artists for a 1 hour ""Drawing"" workshop at Liverpool Art Fair inside The Royal Liver Building.",2025-08-08 12:00:00+00,2025-08-08 15:00:00+00,Near Liverpool Lime Street,,0101000020E6100000705F07CE19D107C0234A7B832FB44A40,predicthq,5vsQLTFdpqCYyDJYwA,,,festivals,,,2025-07-21 17:20:17.585268+00,2025-07-21 17:20:17.585268+00
00314519-9767-4d09-addb-398b2c0c23a7,Solea - An Afternoon Of Guitar Live At The Edinburgh Fringe,"Sourced from predicthq.com - An afternoon with one of Scotland's finest guitar duos, making their debut at the Edinburgh Fringe. Fiery guitar playing, not to be missed!",2025-08-16 15:30:00+00,2025-08-16 16:15:00+00,Near Edinburgh Waverley,,0101000020E6100000C4B12E6EA38109C060E5D022DBF94B40,predicthq,B33BS2JtsuAHDpk6v7,,,concerts,,,2025-07-21 17:20:01.620774+00,2025-07-21 17:20:01.620774+00
003be55f-44b9-4c8b-86ec-f15ea55d8e38,Tragedy Â All Metal Tribute To the Bee Gees & Beyond,Sourced from predicthq.com,2025-08-16 17:30:00+00,2025-08-16 17:30:00+00,Near Glasgow Central,,0101000020E6100000F31FD26F5F0711C0A089B0E1E9ED4B40,predicthq,HSeMJUa7AHFb2xkjQs,,,concerts,,,2025-07-21 17:20:23.186415+00,2025-07-21 17:20:23.186415+00
003fe31a-c816-4b79-ae47-8a3e3bb2316a,Motion Palpation Institute (MPI) Shoulder CPD,Sourced from predicthq.com - The Shoulder Masters Series class looks at the shoulder girdle and its relationship to the spine and upper quadrant.,2025-07-26 08:00:00+00,2025-07-27 12:00:00+00,Near Bournemouth,,0101000020E6100000E561A1D634EFFDBFBE9F1A2FDD5C4940,predicthq,EQvX2UosVATvvPJvis,,,conferences,,,2025-07-21 17:19:24.605545+00,2025-07-21 17:19:24.605545+00
0046528e-fb1f-4627-a1b0-9df34a622722,Hayao Miyazaki's Dreams by Mystery Ensemble,Sourced from predicthq.com,2025-08-29 18:00:00+00,2025-08-29 19:00:00+00,Near Leeds,,0101000020E6100000D3BCE3141DC9F8BF3D9B559FABE54A40,predicthq,7AdYWA4UvtT3kHhmeh,,,concerts,,,2025-08-03 12:00:56.785064+00,2025-08-03 12:00:56.785064+00
006d7b42-0353-4d32-9f8f-36ce060e767a,"Michael Shannon, Jason Narducy, and Ted Leo",Sourced from predicthq.com,2025-08-20 18:00:00+00,2025-08-20 18:00:00+00,Near Glasgow Central,,0101000020E6100000F31FD26F5F0711C0A089B0E1E9ED4B40,predicthq,ERJKUm5BRW4MM6XT43,,,concerts,,,2025-07-21 17:20:21.624556+00,2025-07-21 17:20:21.624556+00
006d9f99-4c4d-4167-a13b-78f2b9e666e7,Preston Tech Connection: Web3 Is Dead. Or Is It?,"Sourced from predicthq.com - In our July MeetUp we will explore whether blockchain and crypto tech still have a future beyond hype, and where real use cases are emerging",2025-07-29 17:00:00+00,2025-07-29 19:00:00+00,Near Preston,,0101000020E610000012A5BDC117A605C0F0164850FCE04A40,predicthq,DngN66koVvfFeicyhM,,,conferences,,,2025-07-21 17:20:18.952442+00,2025-07-21 17:20:18.952442+00
01079d2a-ca64-4e6e-847b-4b95eb880650,Feminist Library - Guest speaker: Nelly Ating,Sourced from predicthq.com - Ffotogallery's Feminist Library is back - save the dates for all of the upcoming sessions!,2025-08-20 11:30:00+00,2025-08-20 13:30:00+00,Near Cardiff Central,,0101000020E610000074B515FBCB6E09C076E09C11A5BD4940,predicthq,96TWoWHWX8KUhhqz3h,,,conferences,,,2025-07-21 17:19:38.945913+00,2025-07-21 17:19:38.945913+00
0117bdeb-c03e-4a2b-8cd6-fe7354419033,Non League Premier - Northern - Leek Town vs Bamber Bridge,Sourced from predicthq.com,2025-08-19 18:45:00+00,2025-08-19 18:45:00+00,Near Preston,,0101000020E610000012A5BDC117A605C0F0164850FCE04A40,predicthq,9oefYRhJHVjZbT4Epr,,,sports,,,2025-07-21 17:20:18.346572+00,2025-07-21 17:20:18.346572+00
01292ec9-a607-4260-a9ff-2ad915853b61,Boots Presents Glide at Battersea Power Station,,2025-11-20 18:00:00+00,,Battersea Power Station,"Queenstown Road, London",0101000020E61000006ABDDF68C70DC3BFAC1A84B9DDBD4940,ticketmaster,tm-LvZ18QaGrGmV4uYZvo-af,https://ticketmaster-uk.tm7559.net/c/6709060/431519/7559?u=https%3A%2F%2Fwww.universe.com%2Fevents%2Fboots-presents-glide-at-battersea-power-station-tickets-52SXV0%3Fref%3Dticketmaster&utm_medium=affiliate,https://s1.ticketm.net/dam/c/762/da39da0c-6f5d-48b1-8c8f-570807c33762_106261_EVENT_DETAIL_PAGE_16_9.jpg,,,,2025-11-20 17:09:12.649507+00,2025-11-20 17:09:12.649507+00
013f9b6c-7f3c-41d0-bee6-9453089d380c,Cabaret At The Kit Kat Club,Sourced from predicthq.com,2025-08-20 18:30:00+00,2025-08-20 18:30:00+00,Near London Waterloo,,0101000020E610000064CC5D4BC807BDBF0E4FAF9465C04940,predicthq,9vCMRwFGBCu9d6jgVE,,,performing-arts,,,2025-07-21 17:19:04.611658+00,2025-07-21 17:19:04.611658+00
014a0d89-72ab-4993-b049-27a7b5dc149b,Roman Baths Torchlit Tour,Evening tour of the ancient baths by torchlight with costumed guides,2025-10-31 18:30:00+00,2025-10-31 20:30:00+00,Roman Baths,"Abbey Church Yard, Bath BA1 1LZ",0101000020E61000001DC9E53FA4DF02C01B9E5E29CBB04940,ticketmaster,demo-051,https://example.com/roman-torch,https://picsum.photos/seed/roman/800/600,Arts & Culture,28.00,35.00,2025-09-30 17:29:04.922875+00,2025-09-30 17:29:04.922875+00
